title,url,comments
ガル民が集まる秋の三連休雑談トピ,https://girlschannel.net/topics/5880379/,44912コメント
【衝撃スクープ】米倉涼子（50）麻薬取締法違反容疑でマトリが本格捜査へ！,https://girlschannel.net/topics/5880523/,10481コメント
公明、連立離脱の見方強まる　閣外協力に転じる案が浮上,https://girlschannel.net/topics/5879221/,9856コメント
【実況・感想】キングオブコント2025,https://girlschannel.net/topics/5881310/,7590コメント
自民との連立政権「一旦白紙」公明・斎藤代表…「政治とカネ問題への基本姿勢に意見の相違」と説明　自民・高市総裁「一方的に。大変残念」公明党からの連立離脱の通告受けて,https://girlschannel.net/topics/5879903/,7368コメント
JO1大平祥生　活動休止を発表「規定に反する事案発覚」「見つめ直す期間が必要と判断」,https://girlschannel.net/topics/5886093/,4400コメント
timelesz原嘉孝＆篠塚大輝「ヒルマイルド」新CMに2人で出演「ドッキリだと思ってます」,https://girlschannel.net/topics/5885883/,3308コメント
高市氏、公明離脱を陳謝　自民議員に「私の責任」,https://girlschannel.net/topics/5885544/,1977コメント
Snow Man、新曲またも“歌割り格差”にファンもやもや“先輩グループ”との違いで“令和の国民的アイドル”への試練,https://girlschannel.net/topics/5886155/,1816コメント
「批判してた人、どこいった？」　前評判は最悪だった「大阪・関西万博」が、結局“大成功で終わった”ワケ…「東京五輪」とは何が違ったのか,https://girlschannel.net/topics/5886487/,1731コメント
